chrom,LociID,nLoci,maxP,rank
10,240,131,2.1588664732,307
1,20,64,2.1580475031,308
17,346,85,2.154878832,309
19,378,63,2.1505743767,310
6,144,93,2.1503068888,311
7,159,93,2.1443804445,312
17,341,81,2.1395814165,313
12,282,44,2.1326188493,314
1,17,30,2.1288878619,315
5,127,52,2.1259451488,316
19,371,69,2.1236067102,317
11,245,66,2.1200424681,318
4,98,178,2.1185600156,319
16,331,65,2.1165920748,320
11,255,129,2.1060208123,321
16,332,62,2.1009579353,322
2,52,69,2.0999374759,323
9,213,130,2.095106717,324
2,66,67,2.0876661958,325
12,284,72,2.0836595093,326
16,323,17,2.074295158,327
6,150,63,2.073561447,328
19,370,34,2.0673794828,329
15,307,25,2.0612222874,330
9,206,119,2.053067231,331
5,131,110,2.0448735399,332
3,87,164,2.0439886934,333
3,95,36,2.0435809617,334
3,92,70,2.0401323733,335
3,93,76,2.0260478747,336
21,405,39,2.0231358218,337
16,328,66,2.019094835,338
14,300,47,2.0188396733,339
1,15,35,2.0186483931,340
22,414,80,2.0162336635,341
17,351,103,2.0133931946,342
7,167,90,2.0110104335,343
1,21,53,2.0086420606,344
1,39,102,1.9979761335,345
1,40,87,1.9979761335,346
7,173,15,1.995865284,347
2,54,126,1.9923918277,348
22,418,59,1.9887125532,349
2,61,4,1.9821523607,350
7,160,67,1.9767870241,351
22,415,22,1.9570635786,352
8,193,76,1.9563013452,353
9,207,87,1.951597721,354
13,290,114,1.9350232842,355
5,116,76,1.931484274,356
2,65,53,1.9311780103,357
17,352,61,1.9291423682,358
6,157,21,1.9250019102,359
20,389,66,1.9228481998,360
21,401,48,1.9059339747,361
19,381,33,1.9024563795,362
4,96,170,1.8998094921,363
11,254,50,1.895033528,364
1,23,20,1.8656306319,365
11,251,40,1.8651558648,366
12,277,42,1.8581446564,367
12,278,42,1.8581446564,368
3,86,21,1.8552738479,369
3,83,72,1.8543495231,370
13,291,31,1.8513813062,371
19,379,36,1.8453058562,372
13,293,35,1.8358643458,373
21,406,60,1.8357042607,374
4,106,39,1.8329920995,375
12,275,62,1.8319600799,376
22,412,52,1.8161475959,377
9,203,89,1.8153865805,378
1,26,47,1.8138692694,379
20,398,45,1.7975533707,380
10,233,175,1.7935781248,381
7,172,72,1.7878664859,382
5,118,42,1.7825860822,383
16,333,59,1.7787583807,384
1,33,28,1.774282224,385
9,228,25,1.7698564694,386
15,311,67,1.7598290521,387
15,306,60,1.7549097409,388
19,373,24,1.7478040026,389
7,174,121,1.7478040026,390
11,260,74,1.7395683691,391
2,60,105,1.7182159308,392
1,22,83,1.7088276923,393
19,385,41,1.6915288288,394
15,313,36,1.6757570652,395
8,190,60,1.6694111388,396
9,212,53,1.6667969142,397
7,171,16,1.6560028359,398
19,383,52,1.6539799476,399
4,110,59,1.6507147,400
9,216,62,1.6499651097,401
1,16,45,1.6300077468,402
5,121,77,1.6297704879,403
2,58,16,1.6220204225,404
17,348,48,1.6078595462,405
3,82,43,1.6074110184,406
14,299,29,1.5875291996,407
22,413,41,1.5811886421,408
19,377,31,1.5761886005,409
9,218,27,1.562957248,410
9,219,25,1.562957248,411
8,184,17,1.5577865151,412
8,197,50,1.5299475966,413
8,198,42,1.5299475966,414
1,45,1,1.4852642991,415
8,194,2,1.446321965,416
1,34,11,1.3959210492,417
12,274,12,1.3227880151,418
5,129,23,1.3114091747,419
7,170,14,1.2844168847,420
1,46,10,1.2291663911,421
9,205,4,1.2231112186,422
8,202,6,1.2206644063,423
